district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
海淀区	写字楼	1	1	0	0	0	0	0	NULL	7040.0	17.0	116.33525	39.953213	2	11	0	43	0	0	12	0	1	-145
西城区	纯住宅	1	1	0	0	1	1	1	71000.0	350.0	6.0	116.38829	39.94736	4	0	1	8	1	0	25	1	0	-24
朝阳区	商住两用	1	1	1	1	0	0	1	41500.0	14520.0	24.0	116.52351	39.914085	1	4	2	7	0	0	39	0	0	-49
西城区	纯住宅	0	1	1	0	0	0	0	58180.0	564.0	5.0	116.392334	39.873386	0	0	2	21	0	0	11	0	0	-18
海淀区	写字楼	1	1	0	0	0	0	0	36780.0	3520.0	4.0	116.364815	39.980873	6	1	2	26	0	1	11	0	2	-53
海淀区	写字楼	1	1	1	1	0	0	1	55000.0	3520.0	13.0	116.311806	39.984512	2	23	1	25	0	1	46	2	1	-183
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	27.0	116.44032	39.907948	9	5	2	13	1	1	8	0	0	-164
朝阳区	商住两用	1	1	1	1	1	0	1	45000.0	6600.0	16.0	116.48147	39.900356	2	10	6	22	1	0	74	0	0	-81
海淀区	写字楼	1	1	0	0	0	0	0	48000.0	2816.0	6.0	116.3062	40.043434	0	1	0	1	0	0	38	0	0	-61
朝阳区	纯住宅	1	1	1	0	0	0	0	42000.0	5376.0	24.0	116.414536	39.999584	3	17	1	38	2	0	52	1	0	-65
丰台区	写字楼	0	0	0	0	0	1	1	NULL	7040.0	9.0	116.294266	39.85124	0	0	2	28	1	0	23	1	0	-19
丰台区	纯住宅	1	1	0	0	1	0	1	40000.0	14700.0	13.5	116.415504	39.838963	0	0	2	1	0	0	0	1	0	-82
东城区	纯住宅	1	1	1	1	1	0	0	48000.0	1911.0	13.5	116.40247	39.86816	0	0	0	33	4	1	45	0	0	-6
海淀区	写字楼	1	1	0	1	0	0	0	NULL	2921.6	10.0	116.365395	39.977356	3	2	0	15	0	0	5	1	2	-68
海淀区	写字楼	1	0	0	0	0	1	1	NULL	3520.0	10.0	116.30677	40.048027	0	4	1	0	0	0	43	0	0	-87
丰台区	纯住宅	1	1	1	1	1	0	1	31600.0	1190.0	13.0	116.44302	39.853767	0	12	3	8	0	0	48	0	1	-30
海淀区	纯住宅	1	1	1	1	0	0	1	65000.0	1435.0	16.0	116.319214	39.92759	3	2	4	4	0	1	7	0	1	-81
海淀区	写字楼	1	1	0	0	0	0	1	38005.0	3520.0	25.0	116.32661	39.933056	0	6	1	20	0	0	19	2	3	-232
海淀区	商住两用	1	0	1	0	0	0	1	65000.0	2640.0	22.0	116.32234	39.97487	2	8	0	13	0	0	18	0	1	-106
朝阳区	纯住宅	1	1	1	1	0	0	0	52080.0	511.0	12.0	116.41752	39.967854	0	2	5	44	0	2	31	1	0	-145
朝阳区	纯住宅	0	0	1	0	0	0	1	30000.0	1050.0	18.0	112.44127	34.60219	0	0	1	1	0	0	0	1	0	0
西城区	纯住宅	1	1	1	0	0	0	0	34988.0	1505.0	25.5	116.33707	39.888245	2	5	2	25	0	1	23	0	0	-85
朝阳区	写字楼	1	1	0	0	0	0	1	NULL	3520.0	13.0	116.47392	39.907265	13	4	2	7	0	0	25	0	0	-129
海淀区	写字楼	1	1	0	0	0	0	0	NULL	3520.0	5.0	116.31198	40.03877	0	1	2	8	0	0	5	1	0	-89
海淀区	纯住宅	1	1	0	0	1	0	1	65000.0	8274.0	19.0	116.3357	39.992546	0	6	5	12	0	0	6	0	0	-177
丰台区	纯住宅	1	1	0	0	0	0	1	40000.0	595.0	23.0	116.31643	39.87938	0	2	2	0	0	0	5	0	0	-93
朝阳区	商住两用	1	1	0	0	1	0	1	40000.0	3880.8	15.0	116.38249	39.973755	3	6	2	12	0	0	31	0	0	-125
海淀区	纯住宅	1	1	0	0	0	0	1	55984.0	739.0	22.0	116.30088	39.912457	0	3	3	16	1	0	3	0	0	-11
朝阳区	商住两用	1	1	1	1	1	0	0	50000.0	9240.0	19.0	116.474106	39.89412	0	1	2	14	0	0	15	0	0	-94
海淀区	纯住宅	1	1	0	0	0	0	1	35000.0	497.0	10.0	116.348145	39.952423	7	2	2	106	0	0	51	0	0	-116
朝阳区	商住两用	1	1	1	1	1	0	0	40000.0	2640.0	20.0	116.49136	39.960014	2	0	2	0	0	0	1	0	0	-68
朝阳区	纯住宅	1	1	1	1	1	0	1	50000.0	525.0	9.0	116.52757	39.913868	1	1	2	10	0	0	2	0	0	-22
朝阳区	纯住宅	1	1	1	1	1	0	1	41200.0	2926.0	22.0	116.47491	39.91647	2	22	2	0	0	0	50	0	0	-39
海淀区	写字楼	1	0	0	0	1	0	0	NULL	3520.0	12.0	116.31032	40.037956	0	0	0	0	0	0	0	0	0	-88
西城区	纯住宅	1	0	1	0	0	0	1	44464.0	1995.0	17.0	116.39381	39.9541	3	3	1	23	0	0	13	1	0	-50
海淀区	纯住宅	1	0	1	0	0	0	1	37500.0	2688.0	17.0	116.282906	39.957752	1	6	1	5	1	0	3	0	0	-82
朝阳区	纯住宅	1	1	0	0	0	0	1	35000.0	865.0	27.0	116.41372	40.002293	4	31	1	103	1	0	32	1	0	-71
丰台区	商住两用	1	1	0	0	0	0	1	43000.0	2640.0	27.0	116.40638	39.85766	0	0	1	15	0	0	43	0	0	-81
西城区	纯住宅	1	1	0	0	1	0	1	54000.0	924.0	25.0	116.36175	39.88357	1	5	2	62	0	1	35	2	2	-63
海淀区	纯住宅	1	1	1	0	1	1	1	85000.0	5003.46	4.5	116.30024	39.968693	0	0	1	7	0	1	2	0	0	-52
海淀区	写字楼	1	1	0	0	0	0	1	39800.0	3520.0	8.0	116.30327	39.95639	0	0	0	5	0	0	0	0	0	-49
海淀区	纯住宅	1	1	0	0	0	0	1	53226.0	683.0	10.0	116.37125	39.951687	0	5	2	34	0	0	7	1	0	-73
海淀区	商住两用	1	1	0	0	0	0	1	38886.0	5280.0	18.0	116.352844	40.01235	0	1	2	29	0	1	7	0	1	-44
朝阳区	写字楼	1	1	0	0	1	0	1	52000.0	3520.0	24.0	116.40896	39.998	3	17	2	9	0	0	34	0	0	-100
海淀区	纯住宅	1	1	1	0	0	0	1	40048.0	4634.0	13.5	116.32147	40.04035	0	11	6	51	0	0	57	0	0	-23
海淀区	写字楼	1	1	0	0	0	1	1	NULL	7040.0	7.0	116.323746	39.96326	2	1	1	27	0	0	48	0	0	-104
海淀区	纯住宅	1	0	0	0	0	0	1	34000.0	623.0	10.0	116.34871	40.035378	0	2	0	10	3	0	35	0	0	-57
丰台区	纯住宅	1	1	1	1	1	0	0	50000.0	350.0	8.0	116.440834	39.847935	0	0	0	3	0	0	1	0	0	-35
丰台区	纯住宅	1	1	1	0	0	0	0	38000.0	3927.0	16.0	116.4313	39.85122	1	3	2	17	1	0	19	0	0	-32
东城区	写字楼	1	1	1	1	1	0	1	40000.0	3520.0	15.0	116.4091	39.95754	2	12	3	32	0	1	13	1	0	-106
朝阳区	纯住宅	1	1	0	0	0	0	1	31800.0	840.0	20.0	116.42975	39.987247	0	10	1	36	0	1	82	1	0	-53
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3379.2	26.0	116.33274	39.898453	1	3	1	4	0	0	24	1	0	-107
朝阳区	纯住宅	1	1	0	0	0	0	1	34150.0	865.0	14.0	116.43712	39.983902	1	2	2	14	0	0	28	0	1	-74
朝阳区	商住两用	1	1	1	1	1	0	1	48000.0	3960.0	11.0	116.417114	40.000694	2	8	2	38	2	0	52	2	0	-66
东城区	写字楼	1	1	1	1	1	0	1	NULL	3344.0	7.5	116.41592	39.938484	8	3	3	6	0	1	37	0	0	-99
东城区	写字楼	1	1	1	1	0	0	1	58000.0	3520.0	7.0	116.4175	39.91586	10	19	2	9	7	0	191	0	1	-463
东城区	纯住宅	1	1	0	0	0	0	0	52517.0	3329.0	17.5	116.422424	39.957462	19	2	4	31	0	0	7	0	0	-40
东城区	写字楼	1	1	0	1	0	0	1	NULL	3520.0	7.0	116.394485	39.961742	2	1	0	52	0	1	17	0	0	-68
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	1680.0	22.0	116.35989	39.849827	0	0	1	13	1	1	9	0	0	-34
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	298.0	16.0	116.42726	39.8636	0	4	5	24	0	2	63	0	1	-73
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	378.0	16.0	116.442726	39.866238	1	6	6	39	0	1	20	3	0	-59
丰台区	商住两用	1	1	1	0	0	0	1	38000.0	1320.0	18.0	116.437386	39.865654	0	17	2	38	0	0	46	0	0	-62
丰台区	写字楼	1	1	1	1	0	0	0	NULL	3449.6	9.0	116.33702	39.84667	0	13	0	0	0	0	8	0	0	-31
丰台区	纯住宅	1	1	1	1	1	0	1	39740.0	840.0	16.5	116.422295	39.863888	0	0	3	34	0	0	29	0	0	-70
丰台区	写字楼	1	1	1	0	0	0	1	NULL	6476.8	10.0	116.294266	39.85124	0	0	2	28	1	0	23	1	0	-19
丰台区	商住两用	1	1	0	0	0	0	1	34000.0	1320.0	23.0	116.3029	39.8886	1	1	3	11	0	0	1	0	0	-48
海淀区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	12.0	116.322044	39.931656	0	6	2	24	0	0	36	2	3	-127
朝阳区	纯住宅	0	1	1	1	0	0	0	NULL	1278.0	18.0	116.44988	39.944237	1	21	1	176	0	1	48	2	0	-48
海淀区	写字楼	1	1	1	1	0	0	1	NULL	3520.0	9.0	116.32273	39.95574	3	1	0	26	0	0	27	3	2	-154
西城区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	12.0	116.3666	39.911816	1	19	5	4	1	0	32	1	2	-84
朝阳区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	6.0	116.38451	39.969036	1	11	2	23	0	0	16	1	0	-83
西城区	写字楼	1	1	1	1	1	0	1	32300.0	3520.0	6.0	116.34049	39.913853	0	3	2	13	0	0	11	0	0	-100
西城区	写字楼	1	1	1	0	1	0	1	NULL	3520.0	9.0	116.34658	39.913704	6	1	2	46	0	2	26	1	0	-82
海淀区	写字楼	1	0	0	0	0	1	1	48000.0	3520.0	9.0	116.31105	39.97694	0	13	3	90	0	2	33	1	2	-156
西城区	写字楼	1	1	0	1	1	0	0	45000.0	3520.0	10.0	116.358734	39.936756	2	12	2	32	1	1	34	1	0	-173
西城区	纯住宅	1	1	1	0	0	0	1	36500.0	1505.0	18.0	116.35712	39.878555	7	6	3	16	0	1	19	0	1	-54
海淀区	纯住宅	1	1	1	0	0	0	1	40100.0	595.0	22.0	116.37199	39.98168	2	11	2	26	1	0	31	1	0	-40
海淀区	商住两用	1	1	1	0	0	1	1	32500.0	3960.0	16.0	116.328735	39.948074	33	1	2	0	0	0	3	0	0	-39
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	16.0	116.42557	39.985676	0	4	2	40	0	1	28	1	0	-128
海淀区	写字楼	1	1	1	1	1	0	1	32000.0	3520.0	25.0	116.32165	39.981262	2	8	3	20	1	0	23	2	0	-39
朝阳区	写字楼	1	1	1	1	1	0	1	51000.0	3520.0	6.0	116.49281	39.977943	0	1	4	26	0	1	32	1	0	-67
东城区	写字楼	1	1	0	0	0	0	1	NULL	2921.6	9.0	116.43706	39.884727	1	0	0	9	0	0	0	0	0	-63
朝阳区	写字楼	1	1	1	1	1	0	1	45000.0	3520.0	6.0	116.4827	39.982113	3	5	3	15	1	0	24	1	0	-102
朝阳区	写字楼	1	1	0	0	0	0	1	42000.0	3520.0	17.0	116.423584	39.995564	1	4	5	24	0	0	19	0	0	-111
西城区	纯住宅	1	1	0	0	0	0	1	43000.0	770.0	22.0	116.35515	39.88576	3	7	3	32	0	1	17	0	0	-39
丰台区	纯住宅	1	1	1	1	0	0	1	41037.0	560.0	23.0	116.37196	39.868095	0	2	1	25	0	0	28	0	0	-62
东城区	写字楼	1	1	0	1	0	0	0	NULL	3520.0	12.0	116.43965	39.93442	6	12	0	9	0	1	25	0	0	-134
东城区	写字楼	1	1	0	1	0	0	0	45000.0	3520.0	10.0	116.41543	39.91824	16	21	3	9	7	0	130	2	1	-173
海淀区	写字楼	1	1	1	0	0	0	0	NULL	7040.0	18.0	116.28204	39.93006	1	0	2	3	0	0	9	0	0	-19
海淀区	商住两用	1	1	1	1	1	0	1	52000.0	2640.0	9.5	116.3526	39.96869	0	1	2	20	0	0	25	1	0	-69
西城区	写字楼	1	1	0	0	0	0	0	53000.0	3520.0	5.0	116.36804	39.872746	2	1	2	48	0	1	51	0	0	-100
海淀区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	17.0	116.37423	39.988605	0	8	3	24	1	0	35	0	0	-66
海淀区	商住两用	0	1	1	0	0	1	1	45000.0	1306.8	24.0	116.3212	39.94664	9	3	1	12	0	0	19	0	0	-52
东城区	写字楼	1	1	1	1	0	0	0	NULL	7040.0	13.0	116.417564	39.91514	11	17	2	8	7	0	157	0	1	-545
海淀区	商住两用	1	1	1	1	1	0	1	43400.0	11880.0	14.0	116.36053	39.94723	0	16	4	8	2	0	75	0	0	-85
朝阳区	纯住宅	0	0	0	1	1	0	0	NULL	1043.0	11.0	116.45161	39.908226	0	6	0	46	0	1	5	2	0	-293
海淀区	写字楼	1	1	1	0	0	0	0	42500.0	9926.4	24.0	116.35719	39.945717	0	22	4	100	4	1	96	0	0	-111
丰台区	纯住宅	1	0	1	0	0	0	1	38000.0	252.0	18.0	116.425606	39.87085	0	1	2	39	0	2	44	1	0	-38
东城区	商住两用	1	1	1	1	0	0	1	64200.0	6600.0	13.5	116.42216	39.92309	4	12	3	36	3	3	96	3	0	-29
丰台区	纯住宅	1	1	1	0	0	0	1	38000.0	158.0	11.0	116.4339	39.86767	1	5	1	42	0	1	26	0	0	-48
朝阳区	纯住宅	1	1	1	1	1	0	1	30600.0	1484.0	23.0	116.4568	39.872147	0	0	1	15	0	0	12	0	0	-245
西城区	纯住宅	1	1	1	0	0	0	1	44855.0	735.0	18.0	116.32685	39.884083	2	3	3	35	0	1	23	0	0	-114
朝阳区	纯住宅	1	1	1	1	1	0	1	39000.0	1124.0	22.0	116.46667	39.87103	3	12	4	0	0	0	29	0	0	-65
朝阳区	商住两用	1	1	1	1	1	0	1	55600.0	1320.0	16.0	116.47296	39.942955	12	1	0	21	0	0	5	0	0	-39
西城区	商住两用	1	1	1	0	1	0	0	41300.0	1320.0	27.5	116.351074	39.876667	0	7	2	18	0	1	15	0	0	-105
海淀区	商住两用	1	1	1	1	1	0	1	60000.0	3960.0	12.0	116.32534	39.92887	0	5	1	17	0	0	27	1	0	-52
海淀区	写字楼	1	1	0	0	0	0	1	NULL	3238.4	14.0	116.31041	39.986076	3	19	3	15	0	0	48	1	0	-67
朝阳区	商住两用	1	1	1	1	1	0	1	45100.0	9240.0	16.0	116.47337	39.89523	1	4	3	22	0	0	36	0	0	-88
海淀区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	8.0	116.286804	39.923725	1	2	3	24	0	1	15	0	0	-165
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3520.0	16.0	116.32742	39.963303	2	7	1	18	0	0	53	0	2	-38
东城区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	11.0	116.42382	39.954323	73	11	6	6	0	1	37	0	0	-53
朝阳区	酒店式公寓	1	1	0	0	0	0	0	54000.0	2640.0	17.0	116.45002	39.971386	5	0	2	20	0	1	27	1	0	-72
海淀区	纯住宅	1	1	1	1	1	0	0	58000.0	392.0	5.0	116.3587	40.013115	1	6	3	37	1	0	46	0	0	-10
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	11.0	116.45161	39.908226	0	6	0	46	0	1	5	2	0	-293
朝阳区	纯住宅	1	1	1	0	1	1	0	50000.0	3024.0	10.5	116.5208	39.909874	2	5	1	5	1	0	7	0	0	-43
海淀区	商住两用	1	1	1	0	0	0	1	72000.0	7920.0	12.5	116.27861	39.91793	1	0	2	17	0	1	1	0	0	-59
丰台区	纯住宅	1	1	1	0	0	0	0	38226.0	1386.0	11.0	116.3813	39.835228	0	0	1	0	0	0	0	0	0	-23
朝阳区	商住两用	1	1	1	1	1	1	1	35000.0	13200.0	22.0	116.49339	39.89428	0	7	1	16	0	0	14	0	0	-98
大兴区	纯住宅	1	1	0	0	0	0	1	26574.0	2111.0	10.5	116.454254	39.81862	1	0	1	19	0	0	5	0	0	-6
大兴区	纯住宅	1	1	0	0	0	0	1	25575.0	1281.0	10.0	116.456085	39.81144	0	0	3	8	0	0	25	1	0	-35
西城区	商住两用	1	1	0	0	0	0	0	60063.0	19800.0	18.5	116.38679	39.8859	25	1	1	29	0	1	36	1	0	-69
海淀区	写字楼	1	0	0	0	0	0	1	NULL	3520.0	6.0	116.31287	40.03908	0	1	3	13	0	0	6	1	0	-61
石景山	纯住宅	1	0	0	0	0	0	1	36621.0	3000.0	16.0	116.21256	39.901115	0	0	1	4	0	1	1	0	0	-23
海淀区	写字楼	1	1	0	1	1	0	0	56000.0	3414.4	17.0	116.313156	39.9846	2	32	1	26	0	1	48	1	0	-145
东城区	纯住宅	1	1	1	1	1	0	0	65000.0	1281.0	22.0	116.400375	39.95123	7	2	0	15	0	1	48	1	0	-90
丰台区	纯住宅	1	1	1	0	0	0	0	41200.0	2380.0	15.0	116.340836	39.865726	1	0	2	0	0	1	3	0	0	-26
通州区	商住两用	1	1	1	1	0	0	1	21500.0	6600.0	11.5	116.678444	39.894436	1	1	5	14	0	0	53	0	1	-21
西城区	纯住宅	1	0	1	0	0	0	1	48557.0	8625.05	12.5	116.382416	39.88194	0	2	1	26	0	1	17	2	0	-45
海淀区	写字楼	1	0	0	0	0	0	1	30000.0	3520.0	6.0	116.329956	39.968773	1	15	2	15	2	0	81	0	1	-60
朝阳区	酒店式公寓	1	1	0	1	1	0	0	35000.0	1320.0	28.0	116.495834	39.97672	2	6	4	12	1	1	78	1	0	-44
朝阳区	写字楼	1	1	0	0	1	1	1	NULL	3520.0	4.0	116.466606	39.92365	4	13	3	16	2	0	79	0	0	-79
丰台区	写字楼	1	0	0	0	0	0	1	NULL	6336.0	9.0	116.293755	39.86661	1	1	2	28	0	1	4	0	0	-110
朝阳区	商住两用	1	1	0	0	0	0	1	35007.0	1320.0	12.5	116.55285	39.91898	1	1	0	28	0	0	5	1	0	-36
海淀区	写字楼	1	1	0	0	0	0	0	NULL	7040.0	5.0	116.31204	40.03953	0	3	3	20	0	0	10	1	0	-74
丰台区	写字楼	1	1	0	1	0	0	0	40000.0	3520.0	5.0	116.30658	39.89023	0	1	6	42	0	0	21	0	0	-60
西城区	写字楼	1	1	1	1	1	0	1	52000.0	17600.0	14.5	116.382706	39.96262	0	10	0	38	0	0	17	0	0	-77
海淀区	纯住宅	1	1	1	1	1	0	1	54000.0	3241.0	13.0	116.363594	39.95093	0	9	4	39	0	0	26	0	0	-74
海淀区	纯住宅	1	1	1	1	1	0	1	94500.0	1862.0	16.5	116.29762	39.967712	3	5	1	7	1	0	41	0	0	-59
海淀区	商住两用	1	1	1	0	0	0	1	49300.0	3960.0	9.5	116.34173	39.964058	0	10	2	58	0	1	31	0	0	-111
朝阳区	写字楼	1	1	1	0	0	0	1	51800.0	3520.0	24.0	116.41786	39.99612	1	7	1	30	0	3	36	1	0	-179
朝阳区	写字楼	1	1	0	0	0	0	1	NULL	3520.0	13.0	116.4731	39.885063	0	1	1	305	0	1	38	1	0	-52
海淀区	写字楼	1	1	0	0	0	0	1	NULL	10032.0	29.0	116.33405	39.984676	1	2	2	45	0	1	19	2	0	-330
朝阳区	纯住宅	1	0	0	0	0	0	1	44000.0	3535.0	28.0	116.42732	40.001656	1	11	1	27	1	0	22	0	0	-74
朝阳区	商住两用	1	1	1	1	1	0	1	31413.0	2640.0	10.0	116.563644	39.92131	4	0	1	25	0	1	19	0	2	-22
朝阳区	纯住宅	1	1	1	0	0	0	1	51000.0	9940.0	28.0	116.42732	40.001656	1	11	1	27	1	0	22	0	0	-74
朝阳区	写字楼	1	1	1	0	0	0	1	36000.0	14080.0	12.5	116.42383	39.980846	0	4	4	19	0	2	11	1	0	-160
西城区	纯住宅	1	0	1	0	1	0	1	53000.0	497.0	18.0	116.325035	39.88065	0	0	2	13	0	0	26	1	0	-77
海淀区	纯住宅	1	1	0	0	0	0	1	34990.0	4774.0	13.5	116.33554	40.057034	1	7	4	22	0	0	25	0	0	-45
东城区	写字楼	1	1	0	0	0	0	1	NULL	3132.8	7.0	116.43818	39.933163	7	9	1	13	0	1	28	0	0	-169
西城区	商住两用	1	1	1	0	1	1	0	75190.0	11167.2	7.0	116.388	39.876064	3	0	3	25	0	0	9	0	0	-24
朝阳区	商住两用	1	1	0	1	1	0	0	43000.0	1267.2	17.5	116.477974	40.00343	1	3	5	7	1	1	68	1	0	-68
西城区	纯住宅	1	1	1	0	0	0	1	53000.0	945.0	12.0	116.35381	39.872	0	0	2	2	0	0	4	0	0	-65
丰台区	纯住宅	1	1	0	0	0	0	1	40000.0	2275.0	24.0	116.424614	39.853466	0	0	3	49	0	1	22	1	0	-50
朝阳区	纯住宅	1	1	1	1	1	0	1	48014.0	3867.5	21.5	116.458015	39.98403	0	0	2	1	0	0	1	0	0	-117
朝阳区	纯住宅	1	0	0	0	0	1	1	53300.0	2800.0	11.0	116.36434	40.017117	0	0	0	11	0	0	10	0	0	-42
朝阳区	商住两用	1	1	1	1	1	0	1	46700.0	5280.0	22.0	116.48735	39.898827	0	2	1	23	0	0	16	0	0	-89
西城区	纯住宅	1	1	1	0	0	0	1	53000.0	547.82	20.0	116.325035	39.88065	0	0	2	13	0	0	26	1	0	-77
西城区	纯住宅	1	1	0	0	0	1	1	35000.0	504.0	24.0	116.328156	39.87686	0	0	1	8	0	0	5	0	0	-69
西城区	商住两用	1	1	0	0	0	0	1	40000.0	1240.8	4.5	116.346466	39.88076	0	0	1	11	0	0	5	0	0	-54
西城区	写字楼	1	1	1	1	1	0	1	NULL	6969.6	18.0	116.38659	39.963177	0	12	1	44	1	0	22	0	0	-77
朝阳区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	13.0	116.421814	39.97876	0	12	1	53	0	0	15	0	0	-51
海淀区	商住两用	1	1	1	0	0	0	0	NULL	1320.0	8.0	116.29521	39.96649	7	5	0	14	4	1	131	0	0	-34
丰台区	纯住宅	1	1	1	1	1	0	1	50000.0	1113.0	6.0	116.440834	39.847935	0	0	0	3	0	0	1	0	0	-35
丰台区	纯住宅	0	1	1	1	0	0	0	41000.0	2800.0	17.5	116.431114	39.853943	0	5	2	33	0	0	26	0	0	-27
海淀区	酒店式公寓	1	0	0	0	1	0	1	43000.0	1320.0	16.0	116.37058	39.97783	1	10	1	29	0	0	16	0	0	-181
大兴区	纯住宅	1	1	0	0	0	0	1	30635.0	1722.0	9.0	116.446526	39.812027	0	0	2	7	1	0	17	0	0	-17
丰台区	纯住宅	1	1	1	1	0	0	1	43172.0	1441.02	16.5	116.317856	39.851948	0	1	4	21	0	2	10	0	0	-24
朝阳区	纯住宅	1	1	1	1	1	0	1	37000.0	5955.55	15.0	116.504524	39.896618	0	1	2	0	0	0	0	0	0	-77
海淀区	纯住宅	1	1	1	1	1	0	1	62620.0	560.0	18.0	116.33013	39.973473	5	7	4	22	8	1	117	0	1	-57
海淀区	纯住宅	1	1	1	1	1	0	1	63020.0	350.0	14.0	116.33013	39.973473	5	7	4	22	8	1	117	0	1	-57
海淀区	纯住宅	1	1	1	1	1	0	1	42300.0	441.0	18.0	116.304344	39.971066	1	2	1	37	0	1	10	1	0	-33
海淀区	商住两用	1	1	1	0	0	0	0	34000.0	10929.6	28.0	116.34081	40.035618	4	0	4	10	1	0	75	0	0	-23
朝阳区	纯住宅	1	1	1	0	0	0	1	47500.0	1819.84	10.5	116.36464	40.015392	1	1	1	17	0	0	28	0	0	-43
朝阳区	商住两用	1	1	1	0	0	0	1	36100.0	9081.6	9.5	116.587364	39.93148	0	0	4	17	0	0	5	0	0	-26
朝阳区	纯住宅	1	1	0	0	1	0	1	56200.0	420.0	15.0	116.36434	40.017117	0	0	0	11	0	0	10	0	0	-42
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	3520.0	7.5	116.45718	39.931667	1	16	3	52	0	0	54	2	0	-133
朝阳区	写字楼	1	1	0	1	1	0	0	58000.0	10560.0	21.0	116.47199	39.909985	8	10	2	39	0	0	22	0	0	-338
通州区	纯住宅	1	1	1	1	1	0	1	21688.0	700.0	19.5	116.65193	39.919403	0	0	7	20	0	0	25	0	0	-28
朝阳区	酒店宾馆	1	1	1	1	1	0	1	48000.0	3920.4	26.5	116.44226	39.895992	2	2	0	64	0	0	7	1	0	-104
朝阳区	纯住宅	0	1	1	1	1	0	0	NULL	2212.0	16.0	116.44424	39.935913	0	23	0	30	0	1	44	0	0	-165
朝阳区	商住两用	1	1	1	1	1	0	1	41000.0	17160.0	23.0	116.52456	39.914017	1	3	2	7	0	0	36	0	0	-55
朝阳区	纯住宅	1	1	1	1	1	0	1	44000.0	1898.88	18.5	116.426575	40.002434	2	9	3	21	1	0	19	0	0	-77
海淀区	商住两用	1	1	0	0	0	0	1	40000.0	2640.0	14.0	116.33241	40.037006	0	0	1	15	0	1	37	0	1	-57
朝阳区	商住两用	1	1	0	1	1	0	1	43000.0	2640.0	16.0	116.375	40.00051	0	2	4	2	0	0	31	0	1	-75
海淀区	酒店宾馆	1	1	1	1	1	0	1	33000.0	1320.0	23.0	116.333855	39.984764	1	2	2	48	0	1	20	2	0	-335
朝阳区	纯住宅	1	1	1	1	1	0	1	41000.0	1218.0	19.0	116.47329	39.842197	0	0	0	19	0	0	13	0	0	-12
昌平区	纯住宅	1	1	1	0	0	0	1	35000.0	4214.0	12.0	116.316605	40.07172	0	0	3	3	0	0	0	0	0	-17
西城区	其他	0	0	0	0	0	1	0	NULL	1320.0	4.0	116.392845	39.94572	67	0	0	9	0	1	18	0	0	-64
东城区	纯住宅	1	1	1	0	0	0	1	48000.0	4550.0	11.0	116.405655	39.865013	0	4	3	7	4	0	65	2	0	-43
西城区	纯住宅	1	1	1	1	1	0	1	62000.0	560.0	18.0	116.39538	39.96345	2	1	0	35	0	2	13	0	0	-109
西城区	纯住宅	1	1	1	1	1	0	1	62091.0	574.0	18.0	116.343834	39.924156	1	0	1	27	0	1	1	1	0	-126
朝阳区	纯住宅	1	1	1	1	0	0	1	39100.0	1813.0	18.0	116.451866	39.87299	0	5	1	26	0	0	27	0	0	-88
东城区	写字楼	1	1	0	0	0	1	1	NULL	3520.0	9.0	116.43818	39.933163	7	9	1	13	0	1	28	0	0	-169
丰台区	纯住宅	1	1	1	0	0	0	0	39000.0	245.0	10.0	116.293884	39.888863	0	0	1	0	0	1	2	0	0	-36
海淀区	写字楼	1	1	0	0	0	0	1	31000.0	3520.0	6.0	116.26087	39.917965	0	0	1	38	0	0	10	0	0	-52
海淀区	纯住宅	1	1	1	1	1	0	1	34850.0	3360.0	20.0	116.283035	39.90643	0	3	2	10	0	1	36	0	0	-61
朝阳区	商住两用	1	1	1	1	1	0	1	40000.0	1320.0	6.0	116.47602	39.90727	18	5	2	9	0	0	23	0	0	-231
丰台区	商住两用	1	0	1	0	0	0	1	28000.0	2640.0	24.0	116.29818	39.857613	0	0	2	13	0	0	18	0	0	-66
通州区	纯住宅	1	0	0	0	0	0	1	21800.0	2100.0	7.0	116.67203	39.888355	2	3	5	60	1	0	42	2	0	-38
通州区	纯住宅	1	0	0	0	0	0	1	21000.0	742.0	11.0	116.694595	39.895893	1	0	3	24	0	0	27	1	0	-10
丰台区	酒店式公寓	1	1	1	0	1	0	1	36000.0	6600.0	17.0	116.31846	39.85192	0	1	4	22	0	2	10	0	0	-22
