district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
海淀区	商住两用	1	1	0	0	0	0	1	49000.0	5280.0	16.0	116.36294	39.95198	0	9	4	62	0	0	28	0	0	-73
海淀区	纯住宅	1	1	1	0	0	0	1	51885.0	963.0	15.0	116.357574	39.948742	0	19	4	48	3	2	86	0	0	-44
海淀区	纯住宅	1	1	0	0	0	0	1	67000.0	1103.0	20.0	116.35864	39.946487	0	21	5	42	4	0	93	0	0	-58
西城区	商住两用	1	1	0	0	0	0	1	41163.0	1267.2	14.0	116.360214	39.936214	2	7	4	28	1	1	22	1	0	-130
海淀区	写字楼	1	1	0	0	0	0	1	NULL	3520.0	18.0	116.30415	39.923286	0	3	2	32	1	0	9	2	0	-111
海淀区	写字楼	1	1	0	0	0	0	0	NULL	3520.0	10.0	116.32055	39.903282	0	6	1	16	0	1	15	1	1	-125
海淀区	纯住宅	1	1	1	1	0	1	0	51000.0	4113.0	16.0	116.30161	39.935287	2	1	0	17	0	0	1	0	0	-31
西城区	纯住宅	1	1	1	0	0	0	0	47000.0	1575.0	23.0	116.329575	NULL	103498	NULL	NULL	NULL	NULL	1	0	0	1	-125
西城区	纯住宅	1	1	0	0	0	0	1	48000.0	1344.0	21.0	116.35406	39.88996	1	10	2	20	0	1	34	0	1	-170
丰台区	纯住宅	1	1	1	1	1	0	0	53536.0	2100.0	21.5	116.33902	39.875477	0	0	1	0	0	0	6	0	0	-65
西城区	写字楼	1	1	0	0	1	0	1	39000.0	7040.0	20.0	116.35193	39.870102	0	0	1	10	0	0	0	0	0	-29
丰台区	写字楼	1	1	1	0	0	0	0	33300.0	3520.0	24.0	116.36587	39.868973	2	0	0	19	0	1	3	1	0	-86
西城区	纯住宅	1	1	1	1	0	0	0	55284.0	2310.0	11.5	116.37221	39.888496	1	2	4	29	0	0	27	0	3	-95
西城区	商住两用	1	1	1	0	1	0	1	48668.0	3960.0	19.0	116.37552	39.89494	3	1	1	16	0	0	34	0	0	-244
丰台区	写字楼	1	1	0	0	1	0	1	NULL	3520.0	16.0	116.386185	39.851917	0	0	2	56	0	0	19	1	0	-69
丰台区	纯住宅	1	1	1	0	0	0	1	42000.0	893.0	13.5	116.413155	39.860718	0	7	2	25	0	1	18	4	0	-46
丰台区	纯住宅	1	1	1	1	1	0	1	45000.0	1782.0	22.0	116.44402	39.865997	0	6	6	34	0	1	23	4	0	-71
丰台区	纯住宅	1	1	0	0	0	0	1	38000.0	2135.0	14.0	116.424866	39.858982	0	1	2	20	0	1	7	0	0	-60
