city	id	name	district	address	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	Attraction	Building	BusStop	Community	Mall	PrimarySchool	Restaurant	SecondarySchool	Subway	University
北京	0103006	首开幸福广场	朝阳区	北京市朝阳区幸福二村38号	写字楼	1	1	0	1	1	0	1	45118.0	7040.0	24.0	116.448975	39.937218	3	5	2	50	0	0	50	0	0	0
北京	0102972	京水宝莲公寓	海淀区	海淀区北洼西里53号	纯住宅	1	1	0	0	1	0	1	39000.0	525.0	11.0	116.29893	39.93757	0	0	1	14	0	0	5	2	1	0
北京	0102200	葱店胡同2号院	西城区	西城区葱店胡同2号院	纯住宅	1	1	1	0	0	1	1	69000.0	1400.0	14.5	116.35857	39.93757	2	11	2	28	0	2	36	1	1	0
北京	0101964	德润科技大厦	海淀区	海淀区西四环北路125号	写字楼	1	1	1	1	1	0	0	NULL	3414.4	16.0	116.27356	39.937588	0	1	1	6	0	0	47	0	0	0
北京	0101963	汤泉逸墅一期	海淀区	海淀区西四环北路125号	纯住宅	1	1	1	1	1	1	0	62040.0	1575.0	7.5	116.27356	39.937588	0	1	1	6	0	0	47	0	0	0
北京	0102629	美丽经典园	海淀区	北京市海淀区彰化村路美丽经典园6号楼	纯住宅	1	0	0	0	0	0	1	60000.0	2100.0	6.0	116.2838	39.93797	0	10	2	17	1	1	10	0	1	0
北京	0103342	京西科技金融大厦	石景山	北京市石景山区实兴大街30号院	写字楼	1	0	1	0	0	0	1	NULL	3520.0	5.0	116.19323	39.93803	3	1	5	51	0	2	38	0	0	0
北京	0103313	西山汇	石景山	北京市石景山区实兴大街30号院	写字楼	0	0	0	0	0	0	1	NULL	5984.0	21.0	116.19323	39.93803	3	1	5	51	0	2	38	0	0	0
北京	0100744	旅游局公寓	海淀区	海淀区高粱桥斜街乙40号	纯住宅	1	1	1	0	0	0	1	57000.0	1218.0	10.0	116.36132	39.938293	1	10	5	38	0	2	19	1	1	0
北京	0100920	科林大厦	东城区	东城东四北大街107号	写字楼	1	1	1	1	1	0	1	NULL	3344.0	7.5	116.41592	39.938484	8	3	3	6	0	1	37	0	0	0
北京	0100534	中糖大厦	西城区	西直门外大街110号	写字楼	1	1	0	0	1	0	0	58000.0	3520.0	16.0	116.34679	39.938503	0	2	1	48	0	2	8	0	0	2
北京	0103081	金贸中心（金贸大厦）	西城区	北京市西城区西直门外大街18号	写字楼	1	1	1	1	1	0	1	67800.0	10560.0	22.0	116.348404	39.938694	1	5	1	49	0	0	9	0	1	4
北京	0103269	9号公馆二期	朝阳区	朝阳区朝阳公园西路9号院九号	纯住宅	0	1	0	0	1	0	1	65000.0	525.0	9.0	116.474266	39.939125	1	3	2	91	0	1	64	2	0	0
北京	0103270	9号公馆一期	朝阳区	朝阳区朝阳公园西路9号院九号	纯住宅	0	1	0	0	1	0	1	67000.0	350.0	9.0	116.474266	39.939125	1	3	2	91	0	1	64	2	0	0
北京	0100232	豪柏国际公寓	海淀区	西三环北路50号	商住两用	1	1	1	0	0	0	0	46000.0	5280.0	21.0	116.31355	39.939312	1	10	2	20	0	0	16	0	0	0
北京	0103247	京汉大厦	石景山	北京市石景山区高科技园实兴东街8号	写字楼	1	1	0	0	0	1	1	NULL	3520.0	13.0	116.1889	39.93948	1	0	3	26	0	1	20	0	0	0
北京	0102778	中国港湾公寓	东城区	北京市东城区春秀路11号楼	纯住宅	1	1	0	1	1	1	1	38500.0	700.0	24.0	116.4443	39.93982	4	13	1	36	0	0	60	0	0	0
北京	0103345	方圆大厦（北京）	海淀区	北京市海淀区中关村南大街乙56号	写字楼	1	1	1	0	0	0	0	NULL	3273.6	16.5	116.32716	39.94017	0	10	2	40	0	2	15	2	0	0
北京	0103023	世纪新景园	海淀区	北洼路9号院	纯住宅	1	1	0	0	1	0	1	53293.0	4550.0	17.0	116.302925	39.940197	2	1	3	12	0	0	5	0	1	0
北京	0101574	西内小区	海淀区	海淀区西直门内大街134号	纯住宅	1	1	1	1	1	0	1	64609.0	1001.0	17.0	116.365234	39.94038	5	6	6	29	0	1	16	0	1	0
北京	0103221	清境明湖	朝阳区	北京市朝阳区朝阳公园西路5号	纯住宅	1	1	0	0	0	1	1	45000.0	2100.0	9.0	116.47427	39.940727	1	2	2	48	0	0	32	1	0	0
北京	0102909	港湾国际	东城区	东城区东直门外大街28号	写字楼	1	1	0	0	0	0	1	52000.0	3520.0	17.0	116.44682	39.94091	2	17	2	62	0	1	68	3	0	0
北京	0103430	航星科技园	东城区	北京市东城区和平里东街11号航星科技园	写字楼	1	0	0	1	0	0	1	75000.0	10560.0	3.5	116.42734	39.941383	2	0	1	9	0	2	16	2	0	0
