city	id	name	district	address	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	Attraction	Building	BusStop	Community	Mall	PrimarySchool	Restaurant	SecondarySchool	Subway	University
北京	0100982	首旅公寓	朝阳区	朝南大街20.22号楼	纯住宅	1	1	1	1	1	0	1	51300.0	987.0	20.0	113.40706	22.948574	1	0	6	4	0	0	18	0	0	0
北京	0103166	民旺家园	东城区	和平里民旺南22号楼	纯住宅	1	1	1	0	0	0	1	43000.0	245.0	16.0	112.441696	34.600414	0	0	0	1	0	0	0	1	0	0
北京	0100681	和平里社区	朝阳区	和平里14区甲15号乙15号楼	纯住宅	0	0	1	0	0	0	1	30000.0	1050.0	18.0	112.44127	34.60219	0	0	1	1	0	0	0	1	0	0
北京	0102956	和平里公寓A	朝阳区	和平里十一区甲16号楼	纯住宅	1	1	1	0	0	0	1	44000.0	630.0	15.0	112.44195	34.602245	0	0	1	1	0	0	0	1	0	0
北京	0103343	万科幸福汇（乐汇家园）	大兴区	北京市房山区窦店镇大窦路257号院	纯住宅	1	1	0	0	0	0	1	17000.0	2653.0	8.0	116.06519	39.63936	0	0	0	0	0	0	2	0	0	0
北京	0103191	东亚瑞晶苑	通州区	北京市通州区马驹桥景盛北二街15号院	纯住宅	1	1	0	0	0	0	1	14497.0	5324.0	16.0	116.54406	39.74404	0	0	0	0	0	0	0	0	0	0
北京	0103273	金地格林小镇6北区	通州区	北京市通州区马驹桥镇新海南里79号楼3单元夹层	纯住宅	1	0	1	0	0	0	1	21717.0	4620.0	20.5	116.540375	39.750175	0	0	0	0	0	0	0	0	0	0
北京	0103274	金地格林小镇6南区	通州区	北京市通州区马驹桥镇新海南里79号楼3单元夹层	纯住宅	1	1	1	0	0	0	1	21717.0	4620.0	20.5	116.540375	39.750175	0	0	0	0	0	0	0	0	0	0
北京	0103276	金地格林小镇6商业	通州区	北京市通州区马驹桥镇新海南里79号楼3单元夹层	纯住宅	1	1	1	0	0	0	1	21717.0	4620.0	20.0	116.540375	39.750175	0	0	0	0	0	0	0	0	0	0
